ID,Name,Number
290,St Stephen Secondary School Soroti,25
291,St Stephen's Bugiri Secondary School,22
292,St Stephen Secondary School,138
293,Standard Central College Namwendwa,100
294,Nkutu Memorial Secondary School,200
295,Standard High School Bulumagi,45
297,Target Community College,45
299,Teso College Aloet,180
300,Tororo Comprehensive Secondary School,20
302,Tororo Universal College,43
304,Trinity Secondary School Nakibizzi,25
305,Tropical College Tororo,12
306,Uganda Martyrs College Ssonde,27
307,Uganda Martyrs High School Rubaga,141
310,University Link High School,108
311,Uplands High School,40
316,Waitambogwe Secondary School,55
317,Winston Stardard Secondary School,56
318,Wobulenzi College School,
320,Wobulenzi Town Academy,45
321,Yefe High School,14
322,St Denis Ssebugwawo Secondary School Ggaba,56
323,Giants' College Luwero,15
325,Luzira Secondary School,170
326,Namakwa Senior Secondary School,50
327,Paul Mukasa Secondary School Kigunga,60
329,St Antonios Orthodox Secondary School Monde,13
330,St Mary's College Kisubi,140
331,Trinity Senior Academy,70
332,Tororo Girls' School,112
333,PMM Girls' School Jinja,250
334,Lira Town College,250
335,Dr Obote College Boroboro,160
336,Comboni College Lira,39
338,Leo Atubo Secondary School,24
339,Townside High School,47
340,The Vision High School Lira,46
341,DJRA Comprehesive Secondary School,52
342,St Balikuddembe Secondary School Kisoga,50
343,Wakyato Seed Secondary School,
345,Bright Light College,46
346,St Peter's Secondary School Magwa,115
351,Jinja Secondary School,
